City,Temperature,BL_Height,Surface_Pressure,Precipitation,Humidity,U_WindSpeed,V_WindSpeed,PM2_5,Longitude,Latitude,time
A,266.4401542,20.28112773,101442.3071,0,43.96493396,1.837986963,-2.157563552,444,116.39825,40.045975,2017/1/1 0:00
B,269.2895851,14.45648077,102591.5069,0,57.14317712,4.959681223,2.405408364,215,117.3221667,39.07768333,2017/1/1 0:00
C,268.025122,39.49888046,101174.4381,0,41.55989259,1.625491638,-2.246303625,432,114.4931714,38.03362857,2017/1/1 0:00
D,268.0045944,13.85822651,102239.319,0,49.98344941,6.773640941,1.308911257,364,118.1829167,39.64495333,2017/1/1 0:00
E,269.2449713,65.89595687,101181.0703,0,43.2151004,8.023503723,0.674091882,283,119.606875,39.93625,2017/1/1 0:00
F,270.8135615,27.43256631,101291.1259,0,53.31446069,2.484297681,5.415212738,427,114.513875,36.60786,2017/1/1 0:00
G,268.7964739,41.92467016,102020.4136,0,54.73771975,1.307817859,-0.124337961,289,115.4852,38.87626667,2017/1/1 0:00
H,262.9599477,25.44635358,90118.71505,0,73.91776942,0.162417054,-1.649709407,78,114.90085,40.80275,2017/1/1 0:00
I,263.364995,27.83264341,95372.75048,0,71.87187352,1.085986014,-1.404817303,112,117.92774,40.96416,2017/1/1 0:00
J,267.9653734,48.6934169,102297.0672,0,54.83361472,2.913765655,0.398369712,307,116.7151,39.52605,2017/1/1 0:00
K,270.6545705,24.52066404,102494.4409,0,56.79463863,4.525273529,3.291001727,242,116.8715667,38.31576667,2017/1/1 0:00
L,271.1032082,28.93389472,102266.757,0,50.77548489,3.980551574,5.860870222,218,115.6761,37.7448,2017/1/1 0:00
M,270.979781,22.7812349,101037.8867,0,50.43953627,0.772966622,2.280853484,682,114.506675,37.0771,2017/1/1 0:00
A,270.7552826,162.4414687,101425.9896,0,41.80607528,1.72680637,-1.187401073,395,116.39825,40.045975,2017/1/1 3:00
B,271.1251591,129.3084768,102614.5424,0,63.67211366,3.624937576,2.340207226,209,117.3221667,39.07768333,2017/1/1 3:00
C,271.7091538,183.4178038,101265.0928,0,44.45186899,0.952612379,-2.219265987,329,114.4931714,38.03362857,2017/1/1 3:00
D,271.65511,198.3418735,102244.7847,0,53.56193677,4.767682522,1.185070406,159,118.1829167,39.64495333,2017/1/1 3:00
E,272.9293675,217.67038,101199.7616,0,45.59274224,6.461874084,0.914904419,312,119.606875,39.93625,2017/1/1 3:00
F,274.3881075,216.6672619,101393.6405,0,61.72029177,2.209966016,3.693293057,240,114.513875,36.60786,2017/1/1 3:00
G,270.6704412,187.1673816,102073.9019,0,57.27996845,-0.80651573,-0.467076191,212,115.4852,38.87626667,2017/1/1 3:00
H,269.7714284,285.7451097,90087.3708,0,39.97802652,1.152138093,-0.454872002,59,114.90085,40.80275,2017/1/1 3:00
I,270.1392772,174.43987,95331.95011,0,49.39794734,0.562122226,-0.315706636,86,117.92774,40.96416,2017/1/1 3:00
J,268.9534945,124.691375,102299.7609,0,49.26275186,0.434695412,-0.187715402,230,116.7151,39.52605,2017/1/1 3:00
K,273.513783,197.0345103,102553.544,0,79.92904973,4.085683493,4.185006946,114,116.8715667,38.31576667,2017/1/1 3:00
L,272.9540629,170.6109109,102364.2712,0,73.01866419,4.281801374,5.774143532,125,115.6761,37.7448,2017/1/1 3:00
M,272.9461048,190.1804474,101146.6302,0,54.45684406,0.566969464,-0.441199358,285,114.506675,37.0771,2017/1/1 3:00
A,275.9648383,363.036012,101155.6968,0,39.74373519,2.569862266,-0.688226204,416,116.39825,40.045975,2017/1/1 6:00
B,275.6359403,335.0892444,102318.4583,0,74.91377054,4.33515607,2.590013971,191,117.3221667,39.07768333,2017/1/1 6:00
C,276.4992497,286.0342662,100946.0299,0,40.64427153,0.993485741,-2.068687514,288,114.4931714,38.03362857,2017/1/1 6:00
D,275.4482324,419.3515424,101974.2716,0,63.40516821,5.385373249,1.894684139,167,118.1829167,39.64495333,2017/1/1 6:00
E,275.7470999,338.0783177,100909.4639,0,48.23694031,6.68189856,1.412794653,311,119.606875,39.93625,2017/1/1 6:00
F,278.9996581,410.3067714,101100.2843,0,71.77300013,0.674367993,1.224763306,189,114.513875,36.60786,2017/1/1 6:00
G,275.4270364,352.6702632,101754.9353,0,54.73225299,-0.68415173,-1.10886199,178,115.4852,38.87626667,2017/1/1 6:00
H,274.9879211,978.5311094,89901.95767,0,31.8523698,2.668246481,-0.507738256,53,114.90085,40.80275,2017/1/1 6:00
I,275.8141473,483.9228811,95096.94811,0,37.7533921,1.421950802,0.474595176,80,117.92774,40.96416,2017/1/1 6:00
J,274.7244296,333.2705805,102024.2432,0,50.75826731,0.668250376,0.031163626,230,116.7151,39.52605,2017/1/1 6:00
K,277.3949263,438.8641692,102203.5231,0,80.30613609,4.963855733,3.97647893,119,116.8715667,38.31576667,2017/1/1 6:00
L,277.2897869,360.4155538,102030.1359,0,79.75636209,3.145382469,4.496753546,111,115.6761,37.7448,2017/1/1 6:00
M,277.1079353,309.0832735,100854.7453,0,49.03082981,0.265428656,-1.620617387,171,114.506675,37.0771,2017/1/1 6:00
A,272.0808539,40.3233443,101114.0979,0,36.95501736,3.221353369,-1.615894092,409,116.39825,40.045975,2017/1/1 9:00
B,275.5197572,11.97106858,102298.8972,0,70.05652223,3.702687709,0.954876245,165,117.3221667,39.07768333,2017/1/1 9:00
C,274.503692,34.24468907,100996.2961,0,36.98133475,0.699779503,-1.180519525,280,114.4931714,38.03362857,2017/1/1 9:00
D,272.5199085,37.72671144,101918.9323,0,43.13687918,4.904414762,-0.55479727,176,118.1829167,39.64495333,2017/1/1 9:00
E,274.4276465,140.5934011,100865.4126,0,49.18295142,6.801741699,-0.022343567,285,119.606875,39.93625,2017/1/1 9:00
F,275.1239844,38.19837219,101132.2501,0,63.84339383,1.106919798,1.016866055,160,114.513875,36.60786,2017/1/1 9:00
G,274.5311323,19.6807346,101775.2264,0,48.57931028,-1.079409889,-0.79907662,169,115.4852,38.87626667,2017/1/1 9:00
H,271.2737967,112.3302527,89884.98134,0,34.98529945,1.748640153,-0.518297112,55,114.90085,40.80275,2017/1/1 9:00
I,274.7797463,31.25252297,95069.88332,0,41.71064684,1.271285965,0.469422769,118,117.92774,40.96416,2017/1/1 9:00
J,274.5389671,21.69442135,101982.3698,0,34.32231274,0.159080155,-1.447921763,238,116.7151,39.52605,2017/1/1 9:00
K,275.5513338,23.01285693,102226.5402,0,93.98223554,3.769818633,3.851008869,118,116.8715667,38.31576667,2017/1/1 9:00
L,275.7556492,41.509875,102054.9545,0,81.06133182,2.963164316,4.159205744,123,115.6761,37.7448,2017/1/1 9:00
M,275.5064585,23.2095827,100880.6307,0,40.74415769,1.156846388,-1.223287615,161,114.506675,37.0771,2017/1/1 9:00
A,272.1477045,14.83891574,101245.1429,0,33.73477167,3.268999015,-2.26600971,492,116.39825,40.045975,2017/1/1 12:00
B,272.4311782,26.8307853,102377.7436,0,48.4546978,3.257422086,-2.25796007,191,117.3221667,39.07768333,2017/1/1 12:00
C,271.4140572,23.38214319,101087.8061,0,36.68857386,1.697936218,-2.771949241,331,114.4931714,38.03362857,2017/1/1 12:00
D,270.6530717,46.66655709,102005.8867,0,32.9354678,6.339391839,-1.972094254,190,118.1829167,39.64495333,2017/1/1 12:00
E,273.1021047,96.81113073,100905.0146,0,34.48062275,6.898332642,-1.465368201,349,119.606875,39.93625,2017/1/1 12:00
F,272.8407781,17.90155406,101178.316,0,59.02213499,1.881116556,1.599691499,182,114.513875,36.60786,2017/1/1 12:00
G,270.467904,17.31126756,101869.5432,0,36.71735902,-0.091107523,-2.628961698,205,115.4852,38.87626667,2017/1/1 12:00
H,268.0225658,75.15708327,90048.30479,0,49.82869976,0.951992493,-2.265964519,45,114.90085,40.80275,2017/1/1 12:00
I,270.21329,31.72392496,95208.654,0,51.84603475,1.919548381,-1.440270972,82,117.92774,40.96416,2017/1/1 12:00
J,270.2519483,31.18621186,102091.7891,0,30.86216032,1.464808282,-2.2385532,274,116.7151,39.52605,2017/1/1 12:00
K,271.6796793,27.92293927,102298.2219,0,90.34368698,5.491871926,2.559072336,151,116.8715667,38.31576667,2017/1/1 12:00
L,271.6841422,44.45821932,102141.0843,1.69E-08,75.73692473,3.825893788,3.023845032,123,115.6761,37.7448,2017/1/1 12:00
M,272.8985338,17.14273019,100924.7848,0,34.77208992,0.695790064,-0.153150717,203,114.506675,37.0771,2017/1/1 12:00
A,269.4976772,20.68277051,101322.5678,0,27.77218385,3.935946511,-6.40011293,526,116.39825,40.045975,2017/1/1 15:00
B,270.4277658,49.03776494,102435.2022,0,28.54986946,1.9848173,-6.9909555,203,117.3221667,39.07768333,2017/1/1 15:00
C,270.3963776,16.60345603,101182.3734,0,33.64516036,1.717090926,-4.187043161,347,114.4931714,38.03362857,2017/1/1 15:00
D,269.667239,54.04427004,102032.4354,0,27.75904789,5.209927413,-7.701734738,191,118.1829167,39.64495333,2017/1/1 15:00
E,271.869707,83.25103993,100913.3882,0,25.47972209,5.441703296,-7.592213464,393,119.606875,39.93625,2017/1/1 15:00
F,271.8614713,42.98438981,101323.1933,0,58.00093032,1.773971416,-1.148987893,285,114.513875,36.60786,2017/1/1 15:00
G,270.5642697,12.99671252,101916.5403,0,26.67337619,-0.546067502,-3.263043015,259,115.4852,38.87626667,2017/1/1 15:00
H,265.6220026,84.02595241,90153.18709,0,61.40724167,0.885259414,-2.22981782,53,114.90085,40.80275,2017/1/1 15:00
I,267.3657041,42.55717633,95290.2359,0,50.89604239,2.371013122,-2.691799098,100,117.92774,40.96416,2017/1/1 15:00
J,269.5287496,27.87587022,102139.6111,0,28.86408842,2.325430891,-7.048376848,263,116.7151,39.52605,2017/1/1 15:00
K,270.9914813,24.42269675,102364.8578,0,63.97814881,2.59300821,-2.073694381,170,116.8715667,38.31576667,2017/1/1 15:00
L,270.7843421,35.57035982,102227.4015,1.38E-07,47.67159201,2.419161892,-2.164515117,115,115.6761,37.7448,2017/1/1 15:00
M,271.7365541,50.35698767,101077.2422,0,40.95895922,-0.168591169,-3.012185659,287,114.506675,37.0771,2017/1/1 15:00
A,268.9197902,37.0933074,101357.8936,0,24.17118548,5.10070893,-7.634181484,501,116.39825,40.045975,2017/1/1 18:00
B,270.2081199,59.68332992,102450.6721,0,23.84443253,1.645602783,-11.30717381,226,117.3221667,39.07768333,2017/1/1 18:00
C,269.2378416,17.32237514,101192.1888,0,31.92352471,0.551144135,-4.090487185,329,114.4931714,38.03362857,2017/1/1 18:00
D,268.3626533,42.52465128,102047.8633,0,25.43062722,3.466652296,-8.224314498,190,118.1829167,39.64495333,2017/1/1 18:00
E,271.8821764,62.68298729,100950.8843,0,23.35938081,5.705991089,-10.44889988,403,119.606875,39.93625,2017/1/1 18:00
F,271.4531901,65.36355955,101374.443,1.14E-08,44.14904079,0.607832128,-3.290226835,280,114.513875,36.60786,2017/1/1 18:00
G,269.2286877,13.36779387,101947.4573,0,30.08957534,-1.464671291,-2.937872519,255,115.4852,38.87626667,2017/1/1 18:00
H,263.9817425,79.15716712,90171.40766,0,69.88687258,0.808883525,-2.145064476,47,114.90085,40.80275,2017/1/1 18:00
I,266.7974575,74.34815487,95318.75722,0,50.33640284,2.607487297,-2.99608731,129,117.92774,40.96416,2017/1/1 18:00
J,270.0754043,53.81386705,102162.3165,0,23.70419677,2.79311408,-10.73868671,276,116.7151,39.52605,2017/1/1 18:00
K,269.9170023,30.06016363,102402.3044,0,38.2419664,-2.476445514,-5.537866935,166,116.8715667,38.31576667,2017/1/1 18:00
L,271.0395865,28.11270121,102256.58,5.86E-09,36.55692539,-1.673668376,-4.456790807,124,115.6761,37.7448,2017/1/1 18:00
M,271.2892285,18.86567319,101104.7014,8.81E-09,37.62017071,-0.429129049,-4.295982562,293,114.506675,37.0771,2017/1/1 18:00
A,267.159754,40.47698424,101378.4575,0,26.5285154,5.735252011,-6.858554775,460,116.39825,40.045975,2017/1/1 21:00
B,269.5981782,75.36429341,102488.323,0,20.55366573,2.387177501,-11.6966498,167,117.3221667,39.07768333,2017/1/1 21:00
C,267.7771928,21.44186409,101215.7003,0,32.14973185,-0.784326258,-3.135786854,333,114.4931714,38.03362857,2017/1/1 21:00
D,267.7644191,49.76669269,102108.3018,0,31.62061352,1.62250191,-8.062856899,193,118.1829167,39.64495333,2017/1/1 21:00
E,271.6155845,78.82091576,100980.31,0,24.04716937,3.844040613,-9.656847278,351,119.606875,39.93625,2017/1/1 21:00
F,269.6837739,28.61329149,101394.0253,9.80E-07,35.30309322,-1.20138065,-5.567751007,250,114.513875,36.60786,2017/1/1 21:00
G,267.8025548,10.75218098,101988.379,0,35.49372688,-1.886499446,-0.105986355,245,115.4852,38.87626667,2017/1/1 21:00
H,262.1031858,75.35526259,90144.10502,0,74.49518869,0.651391513,-2.146350626,39,114.90085,40.80275,2017/1/1 21:00
I,264.9029495,100.1473117,95343.32256,0,54.52084109,2.093266467,-3.198553161,132,117.92774,40.96416,2017/1/1 21:00
J,270.8844583,84.17740304,102184.4935,0,24.66097594,4.806428493,-11.03971241,245,116.7151,39.52605,2017/1/1 21:00
K,268.5523822,29.101278,102448.8522,0,24.94013031,-4.597574594,-8.809514848,213,116.8715667,38.31576667,2017/1/1 21:00
L,270.3008801,36.32637082,102288.8035,3.67E-07,36.75388555,-4.477795698,-2.819887084,102,115.6761,37.7448,2017/1/1 21:00
M,269.6111783,16.77783527,101121.728,9.74E-07,32.10250575,-1.508071753,-5.731613019,239,114.506675,37.0771,2017/1/1 21:00
A,266.7200036,44.7427529,101518.7982,0,30.3010834,5.042526808,-4.693980055,460,116.39825,40.045975,2017/1/2 0:00
